,time_sec,gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y,set_x,set_y,set_z,WTransG_x,WTransG_y,WTransG_z,RegSgaze_x,RegSgaze_y,RegSgaze_z,CalPSgaze_x,CalPSgaze_y,CalPSgaze_z,ROpenClose,LOpenClose
0,2024-02-16 09:16:44.247695,-0.7051269584693574,-0.1813511237107974,0.6854982145166171,542.3486509785055,295.6057452980262,0.0,0,0,0,0,45.80867909415742,-10.448468832534196,0.0,606,345,298,168,0,0.0,0.0,0.0,539.7406241535181,290.1274017703963,0.0,544.9566778034928,301.08408882565607,0.0,1,1
1,2024-02-16 09:16:44.466687,-0.3113876195331175,-0.15193298010890902,0.9380587093930486,138.5379195797623,236.14373524302604,0.0,0,0,0,0,18.36353268474322,-8.738962233907671,0.0,608,348,298,168,0,0.0,0.0,0.0,135.92989275477498,230.66539171539617,0.0,141.14594640474962,241.62207877065592,0.0,1,1
2,2024-02-16 09:16:44.663691,-0.2964537087824302,-0.1390382346770875,0.9448722268700298,127.98951596337935,227.55669722106228,0.0,0,0,0,0,17.419251887093917,-7.992196865545202,0.0,607,348,298,168,0,0.0,0.0,0.0,125.38148913839203,222.0783536934324,0.0,130.59754278836667,233.03504074869215,0.0,1,1
3,2024-02-16 09:16:44.825545,-0.4026551970396165,-0.26298993045573127,0.876758284974653,212.32639211129427,316.12617096129776,0.0,0,0,0,0,24.667166538122903,-15.247548283196798,0.0,607,349,298,168,0,0.0,0.0,0.0,209.71836528630695,310.6478274336679,0.0,214.9344189362816,321.60451448892763,0.0,1,1
4,2024-02-16 09:16:45.080530,-0.4725194141483424,0.01367615159062141,0.8812141037528095,256.93347888427286,133.27039617371915,0.0,0,0,0,0,28.20083614482424,0.7836101947843359,0.0,608,347,298,168,0,0.0,0.0,0.0,254.3254520592855,127.79205264608926,0.0,259.54150570926015,138.74873970134902,0.0,1,1
5,2024-02-16 09:16:45.268493,-0.4732172144099114,-0.02183282608328757,0.8806752239055279,257.5829126443001,156.63515464341032,0.0,0,0,0,0,28.2506738132096,-1.2510281912550505,0.0,606,347,298,168,0,0.0,0.0,0.0,254.97488581931282,151.15681111578044,0.0,260.19093946928746,162.1134981710402,0.0,1,1
6,2024-02-16 09:16:45.436481,-0.4709285008501012,-0.03326262080063874,0.8815440316583322,255.77112990870663,164.13610786385306,0.0,0,0,0,0,28.11152109958187,-1.9061593940800543,0.0,606,346,298,168,0,0.0,0.0,0.0,253.1631030837193,158.65776433622318,0.0,258.37915673369395,169.61445139148293,0.0,1,1
7,2024-02-16 09:16:45.643510,-0.4846900729955775,-0.03215034706263764,0.8740948567097505,267.53527575790133,163.58493471443649,0.0,0,0,0,0,29.008592744917934,-1.8423966868717423,0.0,606,346,298,168,0,0.0,0.0,0.0,264.92724893291404,158.1065911868066,0.0,270.1433025828887,169.06327824206636,0.0,1,1
8,2024-02-16 09:16:45.791503,-0.4739077272685404,-0.042574143053562774,0.8795446979660224,258.43827958020984,170.32208527030386,0.0,0,0,0,0,28.31624380839485,-2.4400562160271324,0.0,606,346,298,168,0,0.0,0.0,0.0,255.8302527552225,164.84374174267398,0.0,261.04630640519713,175.80042879793373,0.0,1,1
9,2024-02-16 09:16:45.960502,-0.4724128040821692,-0.03799769159982114,0.8805579751008419,257.0948890626512,167.27740403825396,0.0,0,0,0,0,28.2132271380329,-2.1776315941020954,0.0,606,346,298,168,0,0.0,0.0,0.0,254.4868622376639,161.7990605106241,0.0,259.70291588763854,172.75574756588384,0.0,1,1
10,2024-02-16 09:16:46.125485,-0.47749060058566917,-0.043849496153387624,0.8775419927365272,261.51750190475866,171.22848615112272,0.0,0,0,0,0,28.55161938813195,-2.513196889308601,0.0,606,346,298,168,0,0.0,0.0,0.0,258.9094750797713,165.75014262349285,0.0,264.12552872974595,176.7068296787526,0.0,1,1
11,2024-02-16 09:16:46.282517,-0.4600983217175199,-0.041906245159884226,0.8868784188269023,246.83069555012239,169.65358150603888,0.0,0,0,0,0,27.41956141825742,-2.4017542998114085,0.0,606,345,298,168,0,0.0,0.0,0.0,244.22266872513507,164.175237978409,0.0,249.4387223751097,175.13192503366875,0.0,1,1
12,2024-02-16 09:16:46.445514,-0.4830277488303922,-0.0408991279459327,0.8746492801471465,266.2299484342577,169.36910844003492,0.0,0,0,0,0,28.909809856950496,-2.3440012106244454,0.0,605,345,298,168,0,0.0,0.0,0.0,263.6219216092704,163.89076491240505,0.0,268.837975259245,174.8474519676648,0.0,1,1
13,2024-02-16 09:16:46.578510,-0.47437409745599507,-0.04292867350193191,0.8792760282198855,258.84113679421375,170.564363882362,0.0,0,0,0,0,28.34709772091972,-2.46038790297043,0.0,606,345,298,168,0,0.0,0.0,0.0,256.2331099692264,165.0860203547321,0.0,261.44916361920104,176.04270740999186,0.0,1,1
14,2024-02-16 09:16:46.718512,-0.47659493399657865,-0.036279602519883936,0.8783740429402419,260.62772369457196,166.20586698468026,0.0,0,0,0,0,28.48371237232389,-2.079124370901217,0.0,606,345,298,168,0,0.0,0.0,0.0,258.0196968695846,160.72752345705038,0.0,263.23575051955925,171.68421051231013,0.0,1,1
