,timestamp(hh:m:s.ms),gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y
30,2023-10-20 16:25:03.700695,-0.07436977326869965,-0.04049486294388771,0.9946470856666565,1720.0,745.0,0.0,35,119,120,116,-16.301758,2.711196,-0.2976792,513,276
31,2023-10-20 16:25:03.863170,-0.07436977326869965,-0.032130613923072815,0.9970941543579102,1757.0,715.0,0.0,35,116,120,112,-19.080729,4.2077084,-0.8132546,480,278
32,2023-10-20 16:25:04.015676,-0.07436977326869965,-0.032130613923072815,0.9970941543579102,1831.0,713.0,0.0,41,117,126,113,-17.413158,6.841633,-0.9099994,462,278
33,2023-10-20 16:25:04.165201,-0.024981623515486717,-0.032130613923072815,0.9984227418899536,1698.0,717.0,0.0,30,115,113,109,-22.343395,2.5391674,-2.9046504,452,282
34,2023-10-20 16:25:04.312720,-0.024981623515486717,-0.032130613923072815,0.9984227418899536,1736.0,717.0,0.0,29,116,110,109,-27.8844,-2.1445332,-2.6977563,448,281
35,2023-10-20 16:25:04.457254,-0.024981623515486717,-0.022322731092572212,0.9984227418899536,1744.0,683.0,0.0,28,118,106,110,-29.036257,-0.6062355,-2.3495824,440,279
36,2023-10-20 16:25:04.613755,-0.0681997537612915,0.004035885911434889,0.9976197481155396,1906.0,591.0,0.0,28,118,107,110,-28.311333,-0.16286469,-2.5708194,438,279
37,2023-10-20 16:25:04.802132,-0.0681997537612915,0.010181725956499577,0.9976197481155396,1910.0,575.0,0.0,28,118,109,110,-28.245138,0.9580531,-2.42944,443,278
38,2023-10-20 16:25:04.951656,-0.07721242308616638,0.010181725956499577,0.9969921708106995,1926.0,573.0,0.0,29,117,109,109,-28.103455,-1.2772202,-2.2329395,447,279
39,2023-10-20 16:25:05.105154,-0.07721242308616638,0.004035885911434889,0.9969921708106995,1922.0,591.0,0.0,35,107,118,102,-20.432753,0.45061016,-1.0646253,455,286
40,2023-10-20 16:25:05.243712,-0.058685194700956345,-0.006704075261950493,0.9982244968414307,1841.0,625.0,0.0,37,114,120,111,-19.935354,4.4306746,-0.6473763,476,276
41,2023-10-20 16:25:05.389242,-0.04453643783926964,-0.013593501411378384,0.9982244968414307,1740.0,643.0,0.0,34,113,118,109,-18.557255,2.1827908,-0.3072281,493,278
42,2023-10-20 16:25:05.538754,-0.04453643783926964,-0.024161048233509064,0.9979097247123718,1702.0,679.0,0.0,32,115,117,112,-18.20485,1.10534,-0.00284791,510,277
43,2023-10-20 16:25:05.836789,-0.04453643783926964,-0.042888980358839035,0.9979097247123718,1669.0,748.0,0.0,40,118,126,117,-10.868759,5.0503836,1.0052488,533,277
44,2023-10-20 16:25:06.021193,-0.06584688276052475,-0.042888980358839035,0.9970794320106506,1674.0,755.0,0.0,40,108,127,109,-10.563992,-3.1256802,0.90220046,558,287
45,2023-10-20 16:25:06.215565,-0.073011614382267,-0.042888980358839035,0.9964337944984436,1643.0,761.0,0.0,43,109,130,113,-9.186842,-0.66696644,3.1716545,576,288
46,2023-10-20 16:25:06.413926,-0.073011614382267,-0.03720513731241226,0.9964337944984436,1596.0,747.0,0.0,49,112,138,116,-1.7294142,3.3916998,2.8242166,590,286
47,2023-10-20 16:25:06.627236,-0.06584688276052475,-0.03019021637737751,0.9970794320106506,1521.0,726.0,0.0,49,107,137,111,-3.4063993,-2.5427308,2.0922234,602,292
